flow,chain,step,role,role_key,feature,feature_key,workspace,built
Admissions,Management -> Principal -> Teacher -> Front Office,1,Management,super_admin,Central Admission Funnel KPI,super_admin.dashboard.central_admission_funnel_kpi,dashboard,yes
Admissions,Management -> Principal -> Teacher -> Front Office,2,Management,super_admin,Meritto / LeadSquared Sync,super_admin.payments_devices.meritto_leadsquared_sync,payments_devices,yes
Admissions,Management -> Principal -> Teacher -> Front Office,3,Principal,institution_admin,Admissions Pipeline,institution_admin.admissions.admissions_pipeline,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,4,Teacher,faculty,Student Behavior & Demerits,faculty.my_classes.student_behavior_demerits,my_classes,yes
Admissions,Management -> Principal -> Teacher -> Front Office,5,Front Office,admissions,Admissions KPIs,admissions.home.admissions_kpis,home,yes
Admissions,Management -> Principal -> Teacher -> Front Office,6,Front Office,admissions,Follow-ups,admissions.home.follow_ups,home,yes
Admissions,Management -> Principal -> Teacher -> Front Office,7,Front Office,admissions,Enquiries / leads,admissions.enquiries.enquiries_leads,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,8,Front Office,admissions,Lead Source Tracking,admissions.enquiries.lead_source_tracking,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,9,Front Office,admissions,Counselor Lead Assignment,admissions.enquiries.counselor_lead_assignment,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,10,Front Office,admissions,Counselor Activity & Follow-ups,admissions.enquiries.counselor_activity_follow_ups,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,11,Front Office,admissions,Multi-Touch Campaign Sequences,admissions.enquiries.multi_touch_campaign_sequences,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,12,Front Office,admissions,UTM Tracking & Digital Campaign attribution,admissions.enquiries.utm_tracking_digital_campaign_attribution,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,13,Front Office,admissions,24/7 Admission Chatbot,admissions.enquiries.24_7_admission_chatbot,enquiries,no
Admissions,Management -> Principal -> Teacher -> Front Office,14,Front Office,admissions,AI Voice Agent Integration,admissions.enquiries.ai_voice_agent_integration,enquiries,no
Admissions,Management -> Principal -> Teacher -> Front Office,15,Front Office,admissions,Admissions Open Day Scheduler,admissions.enquiries.admissions_open_day_scheduler,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,16,Front Office,admissions,Prospectus & Kit Sales Log,admissions.enquiries.prospectus_kit_sales_log,enquiries,yes
Admissions,Management -> Principal -> Teacher -> Front Office,17,Front Office,admissions,Applications,admissions.applications.applications,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,18,Front Office,admissions,Online Application Form Builder,admissions.applications.online_application_form_builder,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,19,Front Office,admissions,Applicant documents,admissions.applications.applicant_documents,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,20,Front Office,admissions,Entrance Exam Scheduling,admissions.applications.entrance_exam_scheduling,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,21,Front Office,admissions,Interview & Interaction Scheduler,admissions.applications.interview_interaction_scheduler,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,22,Front Office,admissions,Applicant Medical Fitness Declaration,admissions.applications.applicant_medical_fitness_declaration,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,23,Front Office,admissions,Foreign / NRI Student Visa Documentation,admissions.applications.foreign_nri_student_visa_documentation,applications,yes
Admissions,Management -> Principal -> Teacher -> Front Office,24,Front Office,admissions,Offers / admission decisions,admissions.admissions.offers_admission_decisions,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,25,Front Office,admissions,Merit List Generation,admissions.admissions.merit_list_generation,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,26,Front Office,admissions,Seat Allocation Management,admissions.admissions.seat_allocation_management,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,27,Front Office,admissions,Provisional Offer Letters,admissions.admissions.provisional_offer_letters,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,28,Front Office,admissions,Admission Waitlist Management,admissions.admissions.admission_waitlist_management,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,29,Front Office,admissions,Admission Fee Collection,admissions.admissions.admission_fee_collection,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,30,Front Office,admissions,Enrollment handoff,admissions.admissions.enrollment_handoff,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,31,Front Office,admissions,Sibling Priority Auto-Matching,admissions.admissions.sibling_priority_auto_matching,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,32,Front Office,admissions,Alumni Child Quota Allocation,admissions.admissions.alumni_child_quota_allocation,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,33,Front Office,admissions,RTE (Right to Education) Quota Tracking,admissions.admissions.rte_right_to_education_quota_tracking,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,34,Front Office,admissions,RTE Online Lottery Import,admissions.admissions.rte_online_lottery_import,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,35,Front Office,admissions,Aadhaar & APAAR Capture at Admission,admissions.admissions.aadhaar_apaar_capture_at_admission,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,36,Front Office,admissions,Transfer Certificate Intake,admissions.admissions.transfer_certificate_intake,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,37,Front Office,admissions,Medium of Instruction Selection,admissions.admissions.medium_of_instruction_selection,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,38,Front Office,admissions,Child Info ID Capture,admissions.admissions.child_info_id_capture,admissions,yes
Admissions,Management -> Principal -> Teacher -> Front Office,39,Front Office,admissions,Visitor Gate Pass Generation,admissions.visitors.visitor_gate_pass_generation,visitors,yes
Admissions,Management -> Principal -> Teacher -> Front Office,40,Front Office,admissions,Visitor Checkout Tracking,admissions.visitors.visitor_checkout_tracking,visitors,yes
Admissions,Management -> Principal -> Teacher -> Front Office,41,Front Office,admissions,Parent Appointment Booking,admissions.visitors.parent_appointment_booking,visitors,yes
Admissions,Management -> Principal -> Teacher -> Front Office,42,Front Office,admissions,Gate RFID Entry Management,admissions.gate_security.gate_rfid_entry_management,gate_security,no
Admissions,Management -> Principal -> Teacher -> Front Office,43,Front Office,admissions,Emergency Gate Lockout,admissions.gate_security.emergency_gate_lockout,gate_security,yes
Admissions,Management -> Principal -> Teacher -> Front Office,44,Front Office,admissions,Front Office Calls Register,admissions.office_log.front_office_calls_register,office_log,yes
Admissions,Management -> Principal -> Teacher -> Front Office,45,Front Office,admissions,Postal & Courier Log,admissions.office_log.postal_courier_log,office_log,yes
Admissions,Management -> Principal -> Teacher -> Front Office,46,Front Office,admissions,Applicant communication,admissions.communication.applicant_communication,communication,yes
Admissions,Management -> Principal -> Teacher -> Front Office,47,Front Office,admissions,Admission Conversion Reports,admissions.reports.admission_conversion_reports,reports,yes
Admissions,Management -> Principal -> Teacher -> Front Office,48,Front Office,admissions,Lost Lead Reason Analysis,admissions.reports.lost_lead_reason_analysis,reports,yes
Admissions,Management -> Principal -> Teacher -> Front Office,49,Front Office,admissions,My pay,admissions.my_profile.my_pay,my_profile,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,1,Management,super_admin,SMS Gateway Integration,super_admin.messaging.sms_gateway_integration,messaging,yes
Fees & payment,Management -> Principal -> Transport Manager -> Fee Counter -> Front Office -> Student -> Parent,2,Management,super_admin,WhatsApp API Integration,super_admin.messaging.whatsapp_api_integration,messaging,yes
