Role,Section,Feature,Key,Status
Admissions,Admissions,Aadhaar Apaar Capture At Admission,admissions.admissions.aadhaar_apaar_capture_at_admission,built
Admissions,Admissions,Admission Fee Collection,admissions.admissions.admission_fee_collection,built
Admissions,Admissions,Admission Waitlist Management,admissions.admissions.admission_waitlist_management,built
Admissions,Admissions,Alumni Child Quota Allocation,admissions.admissions.alumni_child_quota_allocation,built
Admissions,Admissions,Child Info Id Capture,admissions.admissions.child_info_id_capture,built
Admissions,Admissions,Enrollment Handoff,admissions.admissions.enrollment_handoff,built
Admissions,Admissions,Medium Of Instruction Selection,admissions.admissions.medium_of_instruction_selection,built
Admissions,Admissions,Merit List Generation,admissions.admissions.merit_list_generation,built
Admissions,Admissions,Offers Admission Decisions,admissions.admissions.offers_admission_decisions,built
Admissions,Admissions,Provisional Offer Letters,admissions.admissions.provisional_offer_letters,built
Admissions,Admissions,Rte Online Lottery Import,admissions.admissions.rte_online_lottery_import,built
Admissions,Admissions,Rte Right To Education Quota Tracking,admissions.admissions.rte_right_to_education_quota_tracking,built
Admissions,Admissions,Seat Allocation Management,admissions.admissions.seat_allocation_management,built
Admissions,Admissions,Sibling Priority Auto Matching,admissions.admissions.sibling_priority_auto_matching,built
Admissions,Admissions,Transfer Certificate Intake,admissions.admissions.transfer_certificate_intake,built
Admissions,Applications,Applicant Documents,admissions.applications.applicant_documents,built
Admissions,Applications,Applicant Medical Fitness Declaration,admissions.applications.applicant_medical_fitness_declaration,built
Admissions,Applications,Applications,admissions.applications.applications,built
Admissions,Applications,Entrance Exam Scheduling,admissions.applications.entrance_exam_scheduling,built
Admissions,Applications,Foreign Nri Student Visa Documentation,admissions.applications.foreign_nri_student_visa_documentation,built
Admissions,Applications,Interview Interaction Scheduler,admissions.applications.interview_interaction_scheduler,built
Admissions,Applications,Online Application Form Builder,admissions.applications.online_application_form_builder,built
Admissions,Communication,Applicant Communication,admissions.communication.applicant_communication,built
Admissions,Enquiries,24 7 Admission Chatbot,admissions.enquiries.24_7_admission_chatbot,deferred
Admissions,Enquiries,Admissions Open Day Scheduler,admissions.enquiries.admissions_open_day_scheduler,built
Admissions,Enquiries,Ai Voice Agent Integration,admissions.enquiries.ai_voice_agent_integration,deferred
Admissions,Enquiries,Counselor Activity Follow Ups,admissions.enquiries.counselor_activity_follow_ups,built
Admissions,Enquiries,Counselor Lead Assignment,admissions.enquiries.counselor_lead_assignment,built
Admissions,Enquiries,Enquiries Leads,admissions.enquiries.enquiries_leads,built
Admissions,Enquiries,Lead Source Tracking,admissions.enquiries.lead_source_tracking,built
Admissions,Enquiries,Multi Touch Campaign Sequences,admissions.enquiries.multi_touch_campaign_sequences,built
Admissions,Enquiries,Prospectus Kit Sales Log,admissions.enquiries.prospectus_kit_sales_log,built
Admissions,Enquiries,Utm Tracking Digital Campaign Attribution,admissions.enquiries.utm_tracking_digital_campaign_attribution,built
Admissions,Gate Security,Emergency Gate Lockout,admissions.gate_security.emergency_gate_lockout,built
Admissions,Gate Security,Gate Rfid Entry Management,admissions.gate_security.gate_rfid_entry_management,deferred
Admissions,Home,Admissions Kpis,admissions.home.admissions_kpis,built
Admissions,Home,Follow Ups,admissions.home.follow_ups,built
Admissions,Office Log,Front Office Calls Register,admissions.office_log.front_office_calls_register,built
Admissions,Office Log,Postal Courier Log,admissions.office_log.postal_courier_log,built
Admissions,Reports,Admission Conversion Reports,admissions.reports.admission_conversion_reports,built
Admissions,Reports,Lost Lead Reason Analysis,admissions.reports.lost_lead_reason_analysis,built
Admissions,Visitors,Parent Appointment Booking,admissions.visitors.parent_appointment_booking,built
Admissions,Visitors,Visitor Checkout Tracking,admissions.visitors.visitor_checkout_tracking,built
Admissions,Visitors,Visitor Gate Pass Generation,admissions.visitors.visitor_gate_pass_generation,built
Faculty,Assessment Schemes,Cce Formative Assessment Entry,faculty.assessment_schemes.cce_formative_assessment_entry,built
Faculty,Assessment Schemes,Cce Summative Assessment Entry,faculty.assessment_schemes.cce_summative_assessment_entry,built
Faculty,Attendance,Attendance Correction,faculty.attendance.attendance_correction,built
Faculty,Attendance,Offline Attendance Diary Capture,faculty.attendance.offline_attendance_diary_capture,built
Faculty,Attendance,Take Attendance,faculty.attendance.take_attendance,built
Faculty,Communication,Communication,faculty.communication.communication,built
Faculty,Communication,Remarks,faculty.communication.remarks,built
Faculty,Home,My Day,faculty.home.my_day,built
Faculty,Home,My Work,faculty.home.my_work,built
Faculty,Home,Todays Classes,faculty.home.todays_classes,built
Faculty,Marks Report Cards,Marks Entry,faculty.marks_report_cards.marks_entry,built
Faculty,Marks Report Cards,Report Cards,faculty.marks_report_cards.report_cards,built
