Year Phase,Typical Months,Role,Role Key,Workspace,Section,Feature,Feature Key,Data Scope,Tier,Built,Screen,When Used,Depends On,Feeds Into,Acts Before (role),Hands Off To (role),Approved By,Notifies,Handoff Chain,Also Held By,What The User Does
00 Vendor,Continuous,Seller Admin,seller_admin,Customers,Customers,Onboarding Progress,seller_admin.customers.onboarding_progress,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"How far each new school has got through setup, so the account manager can intervene before a stalled rollout becomes a cancellation."
00 Vendor,Continuous,Seller Admin,seller_admin,Customers,Customers,Provision New School,seller_admin.customers.provision_new_school,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Create a tenant, its first campus and its first administrator in one step, and send the welcome credentials."
00 Vendor,Continuous,Seller Admin,seller_admin,Customers,Customers,Suspend & Reactivate,seller_admin.customers.suspend_reactivate,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Suspend a tenant for non-payment or at end of contract, blocking sign-in while preserving the data, and reactivate on settlement."
00 Vendor,Continuous,Seller Admin,seller_admin,Customers,Customers,Tenant Directory,seller_admin.customers.tenant_directory,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,New school's admin,Vendor provisions -> credentials sent -> principal sets the school up,,"Every school on the installation with its plan, student headcount, status and date joined; open one to act inside it for support."
00 Vendor,Continuous,Seller Admin,seller_admin,Entitlements,Entitlements,Module Entitlement Matrix,seller_admin.entitlements.module_entitlement_matrix,platform,core,yes,Entitlements,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,Which modules each plan and each school may use; switching one off hides it from that school's navigation.
00 Vendor,Continuous,Seller Admin,seller_admin,Subscriptions & Billing,Subscriptions & Billing,Plans & Pricing,seller_admin.subscriptions_billing.plans_pricing,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Plan chosen -> entitlement set -> decides which modules the school sees,,"Define plans with a student cap, included modules and an annual or per-student price."
00 Vendor,Continuous,Seller Admin,seller_admin,Subscriptions & Billing,Subscriptions & Billing,Seat Overage & Renewals,seller_admin.subscriptions_billing.seat_overage_renewals,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Plan chosen -> entitlement set -> decides which modules the school sees,,"Schools past their student cap or inside the renewal window, with the revenue at risk."
00 Vendor,Continuous,Seller Admin,seller_admin,Subscriptions & Billing,Subscriptions & Billing,Subscription Ledger,seller_admin.subscriptions_billing.subscription_ledger,platform,core,yes,Tenants,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Plan chosen -> entitlement set -> decides which modules the school sees,,"Each school's plan, term dates, renewal date and invoice history."
00 Vendor,Continuous,Seller Admin,seller_admin,Usage & Health,Usage & Health,Adoption Metrics,seller_admin.usage_health.adoption_metrics,platform,core,yes,Adoption,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Sign-ins, active users and transactions per school per week — the leading indicator of renewal."
00 Vendor,Continuous,Seller Admin,seller_admin,Usage & Health,Usage & Health,Instance Health,seller_admin.usage_health.instance_health,platform,core,yes,InstanceHealth,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Error rates, queue depth and slow endpoints per tenant, so the vendor sees a problem before the school reports it."
00 Vendor,Continuous,Super Admin,super_admin,Access & Security,Access & Security,Login & session audit,super_admin.access_security.login_session_audit,platform,core,yes,SessionAudit,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"View login history, active sessions and suspicious access."
00 Vendor,Continuous,Super Admin,super_admin,Access & Security,Access & Security,Roles & permissions,super_admin.access_security.roles_permissions,platform,core,yes,RolesPermissions,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Assign roles and define data scope such as institution, campus, department, class or self."
00 Vendor,Continuous,Super Admin,super_admin,Access & Security,Access & Security,SSO / MFA,super_admin.access_security.sso_mfa,platform,core,yes,SsoMfa,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,Configure single sign-on and multi-factor authentication when required.
00 Vendor,Continuous,Super Admin,super_admin,Access & Security,Access & Security,User directory,super_admin.access_security.user_directory,institution,core,yes,Users,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Create, search, suspend and reset accounts across the school."
00 Vendor,Continuous,Super Admin,super_admin,Access & Security,Access & Security,Users,super_admin.access_security.users,platform,core,yes,Users,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Create, activate, suspend and search users."
00 Vendor,Continuous,Super Admin,super_admin,Platform Configuration,Platform Configuration,Audit log,super_admin.platform_configuration.audit_log,platform,core,yes,AuditLog,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,Search critical configuration and data-change history.
00 Vendor,Continuous,Super Admin,super_admin,Platform Configuration,Platform Configuration,Data operations,super_admin.platform_configuration.data_operations,platform,core,yes,ImportStudents,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Controlled import/export, archival, retention and backup/restore administration."
00 Vendor,Continuous,Super Admin,super_admin,Platform Configuration,Platform Configuration,Import & export,super_admin.platform_configuration.import_export,institution,core,yes,Exports,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Bulk import of students, staff and opening balances, with validation reports."
00 Vendor,Continuous,Super Admin,super_admin,Platform Configuration,Platform Configuration,Integrations,super_admin.platform_configuration.integrations,platform,core,yes,Integrations,"The vendor's own back office, outside any one school's year",A provisioned tenant,"What the school is entitled to use, and what it is billed",Seller Admin,Institution Admin,Seller Admin,None,Vendor acts -> the school sees the result in what it may use,,"Configure payment gateway, email/SMS/WhatsApp, biometric devices, Google/Microsoft and other connectors."
