Role,Workspace,Section,Feature,What User Sees & Does,Data Scope,Priority,Tier
Super Admin,Platform Setup,Statutory & Boards,SQAA Framework Management,Configure School Quality Assessment and Assurance standards and self-assessment checklists.,All institutions / all campuses,Should-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,UDISE+ Data Sync,"Map school, student, teacher and facility fields to the UDISE+ return format and validate data integrity before submission.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,APAAR ID Provisioning,Generate and reconcile APAAR (One Nation One Student) IDs against Aadhaar and the UDISE+ register.,All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,DigiLocker Issuer Integration,"Register as a DigiLocker issuer and push transfer certificates, report cards and mark sheets as verifiable documents.",All institutions / all campuses,Must-Have,advanced
Super Admin,Platform Setup,Statutory & Boards,School Management Type,"Classify each campus as Government, Aided, Private Unaided, Model School, Gurukul or KGBV for state reporting.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,District & Mandal Master,"Maintain state, district, mandal and village/ward codes used by every government return.",All institutions / all campuses,Should-Have,core
Super Admin,Platform Setup,Statutory & Boards,Child Info Portal Sync,Map school and student records to the Telangana Child Info portal register and reconcile differences.,All institutions / all campuses,Must-Have,core
Institution Admin / Principal,Students,Admissions,RTE 25% Reservation Register,"Maintain the audit-ready RTE quota register with lottery results, verification and reimbursement claims.",Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Statutory Returns,UDISE+ Return Preparation,"Review the annual UDISE+ return, resolve validation errors and lock the submitted snapshot.",Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Statutory Returns,APAAR ID Register,"Track APAAR ID issue status per student, pending Aadhaar consent and reconciliation exceptions.",Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Statutory Returns,Statutory Registers,"Maintain admission and withdrawal registers, EWS/DG register and attendance registers in inspection format.",Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Statutory Returns,Child Info Reconciliation,Compare the school roll against the Telangana Child Info register and resolve mismatches before the state deadline.,Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Boards & Accreditation,SQAA Compliance Tracking,"Track internal audit checklists, document evidence, and evaluate board compliance ratings.",Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Mid-Day Meal,Mid-Day Meal Register,"Record the daily cooked-meal headcount, rice consumption and menu for government and aided schools.",Assigned institution/campus,Must-Have,advanced
Institution Admin / Principal,Administration,Mid-Day Meal,MDM Utilisation Report,"Reconcile meals served against enrolment and attendance, and generate the monthly utilisation return.",Assigned institution/campus,Must-Have,advanced
Parent / Guardian,Requests,Documents,DigiLocker Document Pull,Fetch the child's school-issued certificates and mark sheets directly into the parent's DigiLocker.,Specific student,Must-Have,advanced
Accounts & Finance,Fees,Concessions & Refunds,Government Reimbursement Claims,"Raise and track RTE and fee-reimbursement claims against the state, with sanction and receipt status.",Assigned institution/campus,Must-Have,advanced
Accounts & Finance,Fees,Concessions & Refunds,Grant-in-Aid Accounting,"Track government grant-in-aid receipts, utilisation certificates and unspent balances.",Assigned institution/campus,Must-Have,advanced
Admissions & Front Office,Admissions,Admissions,RTE (Right to Education) Quota Tracking,"Manage government RTE quota applications, lottery selection results, and document verification.",Assigned institution/campus,Must-Have,advanced
Admissions & Front Office,Admissions,Admissions,RTE Online Lottery Import,Import the state RTE 25% lottery allotment list and convert allotted candidates into applications.,Assigned institution/campus,Must-Have,advanced
Admissions & Front Office,Admissions,Admissions,Aadhaar & APAAR Capture at Admission,"Capture Aadhaar consent, APAAR ID and prior-school UDISE code during the admission form.",Assigned institution/campus,Must-Have,advanced
Admissions & Front Office,Admissions,Admissions,Child Info ID Capture,Record the Telangana Child Info ID at admission and verify it against the state register.,Assigned institution/campus,Must-Have,core
