Status,Role,Workspace,Section,Feature,What it does,Data scope,Priority,Tier,Screen,Endpoints,Tested as,Checks passed,Also readable by,Verified against
Built,Accounts & Finance,Fees,Collections,Collect payment,Record cash/bank/online/manual payments with controls and receipt generation.,Assigned institution/campus finance scope,Must-Have,core,finance/FeeCounter,POST /api/v1/fees/payments GET /api/v1/fees/receipts/:param GET /api/v1/fees/students/:param/ledger GET /api/v1/students,finance@vivencia.test,3,admissions faculty hod institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Collections,Online payments,Track gateway payments and payment status.,Assigned institution/campus finance scope,Must-Have,core,finance/Payments,POST /api/v1/fees/payments/:param/:param GET /api/v1/finance/payments,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Collections,Partial & advance payments,"Handle permitted partial collection, advances and credit application.",Assigned institution/campus finance scope,Must-Have,core,finance/FeeCounter,POST /api/v1/fees/payments GET /api/v1/fees/receipts/:param GET /api/v1/fees/students/:param/ledger GET /api/v1/students,finance@vivencia.test,3,admissions faculty hod institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Collections,Receipts,"Generate, reprint and verify fee receipts.",Assigned institution/campus finance scope,Must-Have,core,finance/FeeCounter,POST /api/v1/fees/payments GET /api/v1/fees/receipts/:param GET /api/v1/fees/students/:param/ledger GET /api/v1/students,finance@vivencia.test,3,admissions faculty hod institution_admin operations super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Concessions & Refunds,Discounts / scholarships,"Apply approved concessions, scholarships and sibling discounts with audit trail.",Assigned institution/campus finance scope,Must-Have,core,finance/Concessions,GET /api/v1/fees/concessions GET /api/v1/fees/refunds POST /api/v1/workflow/concessions/:param/decide,finance@vivencia.test,2,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Concessions & Refunds,Multi-Level Concession Approvals,Route high-value fee concession requests to Principal/Management for digital sign-off.,Assigned institution/campus,Must-Have,core,finance/Concessions,GET /api/v1/fees/concessions GET /api/v1/fees/refunds POST /api/v1/workflow/concessions/:param/decide,finance@vivencia.test,2,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Concessions & Refunds,Refunds,Create and process approved refunds.,Assigned institution/campus finance scope,Must-Have,core,finance/Concessions,GET /api/v1/fees/concessions GET /api/v1/fees/refunds POST /api/v1/workflow/concessions/:param/decide,finance@vivencia.test,2,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Fee Structure,Class-Wise Fee Structure Configuration,"Map fee components, installment amounts, and due dates per class, section, or quota.",Assigned institution/campus,Must-Have,core,setup/Wizard,GET /api/v1/academics/classes GET /api/v1/academics/sections GET /api/v1/academics/subjects GET /api/v1/academics/years GET /api/v1/admin/institutions GET /api/v1/session POST /api/v1/setup/academic-years POST /api/v1/setup/assign-teacher GET/POST /api/v1/setup/campuses PUT /api/v1/setup/campuses/:param GET/PUT /api/v1/setup/class-subjects POST /api/v1/setup/class-teacher POST /api/v1/setup/classes POST /api/v1/setup/employees POST /api/v1/setup/exams GET/POST /api/v1/setup/fee-heads POST /api/v1/setup/fee-structures POST /api/v1/setup/grading-scales GET/PUT /api/v1/setup/institution GET /api/v1/setup/institution/options PUT /api/v1/setup/periods POST /api/v1/setup/sections GET /api/v1/setup/status POST /api/v1/setup/subjects GET /api/v1/timetable/periods GET /api/v1/timetable/teachers,finance@vivencia.test,14,admissions faculty hod hr institution_admin operations parent seller_admin student super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Fee Structure,Demand / invoice generation,Generate student fee demands/invoices for applicable periods.,Assigned institution/campus finance scope,Must-Have,core,finance/DemandGeneration,POST /api/v1/fees/invoices/generate GET /api/v1/setup/fee-structures,finance@vivencia.test,1,institution_admin super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
Built,Accounts & Finance,Fees,Fee Structure,Fee Head & Group Setup,"Define fee heads (Tuition, Transport, Admission, Lab, Sports) and frequency schedules.",Assigned institution/campus,Must-Have,core,setup/Wizard,GET /api/v1/academics/classes GET /api/v1/academics/sections GET /api/v1/academics/subjects GET /api/v1/academics/years GET /api/v1/admin/institutions GET /api/v1/session POST /api/v1/setup/academic-years POST /api/v1/setup/assign-teacher GET/POST /api/v1/setup/campuses PUT /api/v1/setup/campuses/:param GET/PUT /api/v1/setup/class-subjects POST /api/v1/setup/class-teacher POST /api/v1/setup/classes POST /api/v1/setup/employees POST /api/v1/setup/exams GET/POST /api/v1/setup/fee-heads POST /api/v1/setup/fee-structures POST /api/v1/setup/grading-scales GET/PUT /api/v1/setup/institution GET /api/v1/setup/institution/options PUT /api/v1/setup/periods POST /api/v1/setup/sections GET /api/v1/setup/status POST /api/v1/setup/subjects GET /api/v1/timetable/periods GET /api/v1/timetable/teachers,finance@vivencia.test,14,admissions faculty hod hr institution_admin operations parent seller_admin student super_admin,http://127.0.0.1:8090 at 2026-08-18 08:29
